Company Name,fbId,fbPageId,2007-12 count(*),2008-01 count(*),2008-12 count(*),2009-01 count(*),2009-12 count(*),2010-01 count(*),2010-12 count(*),2011-01 count(*),2011-12 count(*),2012-01 count(*),2012-12 count(*),2013-01 count(*),2013-12 count(*),2014-01 count(*),2014-12 count(*),2015-01 count(*),2015-12 count(*),2016-01 count(*),2007-12 commentsCount,2008-01 commentsCount,2008-12 commentsCount,2009-01 commentsCount,2009-12 commentsCount,2010-01 commentsCount,2010-12 commentsCount,2011-01 commentsCount,2011-12 commentsCount,2012-01 commentsCount,2012-12 commentsCount,2013-01 commentsCount,2013-12 commentsCount,2014-01 commentsCount,2014-12 commentsCount,2015-01 commentsCount,2015-12 commentsCount,2016-01 commentsCount,2007-12 likesCount,2008-01 likesCount,2008-12 likesCount,2009-01 likesCount,2009-12 likesCount,2010-01 likesCount,2010-12 likesCount,2011-01 likesCount,2011-12 likesCount,2012-01 likesCount,2012-12 likesCount,2013-01 likesCount,2013-12 likesCount,2014-01 likesCount,2014-12 likesCount,2015-01 likesCount,2015-12 likesCount,2016-01 likesCount,2007-12 reactionsCount,2008-01 reactionsCount,2008-12 reactionsCount,2009-01 reactionsCount,2009-12 reactionsCount,2010-01 reactionsCount,2010-12 reactionsCount,2011-01 reactionsCount,2011-12 reactionsCount,2012-01 reactionsCount,2012-12 reactionsCount,2013-01 reactionsCount,2013-12 reactionsCount,2014-01 reactionsCount,2014-12 reactionsCount,2015-01 reactionsCount,2015-12 reactionsCount,2016-01 reactionsCount,2007-12 sharesCount,2008-01 sharesCount,2008-12 sharesCount,2009-01 sharesCount,2009-12 sharesCount,2010-01 sharesCount,2010-12 sharesCount,2011-01 sharesCount,2011-12 sharesCount,2012-01 sharesCount,2012-12 sharesCount,2013-01 sharesCount,2013-12 sharesCount,2014-01 sharesCount,2014-12 sharesCount,2015-01 sharesCount,2015-12 sharesCount,2016-01 sharesCount,2007-12 hasCaption,2008-01 hasCaption,2008-12 hasCaption,2009-01 hasCaption,2009-12 hasCaption,2010-01 hasCaption,2010-12 hasCaption,2011-01 hasCaption,2011-12 hasCaption,2012-01 hasCaption,2012-12 hasCaption,2013-01 hasCaption,2013-12 hasCaption,2014-01 hasCaption,2014-12 hasCaption,2015-01 hasCaption,2015-12 hasCaption,2016-01 hasCaption,2007-12 blankMessage,2008-01 blankMessage,2008-12 blankMessage,2009-01 blankMessage,2009-12 blankMessage,2010-01 blankMessage,2010-12 blankMessage,2011-01 blankMessage,2011-12 blankMessage,2012-01 blankMessage,2012-12 blankMessage,2013-01 blankMessage,2013-12 blankMessage,2014-01 blankMessage,2014-12 blankMessage,2015-01 blankMessage,2015-12 blankMessage,2016-01 blankMessage,2007-12 updatedLater,2008-01 updatedLater,2008-12 updatedLater,2009-01 updatedLater,2009-12 updatedLater,2010-01 updatedLater,2010-12 updatedLater,2011-01 updatedLater,2011-12 updatedLater,2012-01 updatedLater,2012-12 updatedLater,2013-01 updatedLater,2013-12 updatedLater,2014-01 updatedLater,2014-12 updatedLater,2015-01 updatedLater,2015-12 updatedLater,2016-01 updatedLater,2007-12 hasParent,2008-01 hasParent,2008-12 hasParent,2009-01 hasParent,2009-12 hasParent,2010-01 hasParent,2010-12 hasParent,2011-01 hasParent,2011-12 hasParent,2012-01 hasParent,2012-12 hasParent,2013-01 hasParent,2013-12 hasParent,2014-01 hasParent,2014-12 hasParent,2015-01 hasParent,2015-12 hasParent,2016-01 hasParent,2007-12 hasPlace,2008-01 hasPlace,2008-12 hasPlace,2009-01 hasPlace,2009-12 hasPlace,2010-01 hasPlace,2010-12 hasPlace,2011-01 hasPlace,2011-12 hasPlace,2012-01 hasPlace,2012-12 hasPlace,2013-01 hasPlace,2013-12 hasPlace,2014-01 hasPlace,2014-12 hasPlace,2015-01 hasPlace,2015-12 hasPlace,2016-01 hasPlace,2007-12 hasMessageTags,2008-01 hasMessageTags,2008-12 hasMessageTags,2009-01 hasMessageTags,2009-12 hasMessageTags,2010-01 hasMessageTags,2010-12 hasMessageTags,2011-01 hasMessageTags,2011-12 hasMessageTags,2012-01 hasMessageTags,2012-12 hasMessageTags,2013-01 hasMessageTags,2013-12 hasMessageTags,2014-01 hasMessageTags,2014-12 hasMessageTags,2015-01 hasMessageTags,2015-12 hasMessageTags,2016-01 hasMessageTags,2007-12 hasSource,2008-01 hasSource,2008-12 hasSource,2009-01 hasSource,2009-12 hasSource,2010-01 hasSource,2010-12 hasSource,2011-01 hasSource,2011-12 hasSource,2012-01 hasSource,2012-12 hasSource,2013-01 hasSource,2013-12 hasSource,2014-01 hasSource,2014-12 hasSource,2015-01 hasSource,2015-12 hasSource,2016-01 hasSource,2007-12 hasTo,2008-01 hasTo,2008-12 hasTo,2009-01 hasTo,2009-12 hasTo,2010-01 hasTo,2010-12 hasTo,2011-01 hasTo,2011-12 hasTo,2012-01 hasTo,2012-12 hasTo,2013-01 hasTo,2013-12 hasTo,2014-01 hasTo,2014-12 hasTo,2015-01 hasTo,2015-12 hasTo,2016-01 hasTo,2007-12 postedFromApp,2008-01 postedFromApp,2008-12 postedFromApp,2009-01 postedFromApp,2009-12 postedFromApp,2010-01 postedFromApp,2010-12 postedFromApp,2011-01 postedFromApp,2011-12 postedFromApp,2012-01 postedFromApp,2012-12 postedFromApp,2013-01 postedFromApp,2013-12 postedFromApp,2014-01 postedFromApp,2014-12 postedFromApp,2015-01 postedFromApp,2015-12 postedFromApp,2016-01 postedFromApp,2007-12 added_photosStory,2008-01 added_photosStory,2008-12 added_photosStory,2009-01 added_photosStory,2009-12 added_photosStory,2010-01 added_photosStory,2010-12 added_photosStory,2011-01 added_photosStory,2011-12 added_photosStory,2012-01 added_photosStory,2012-12 added_photosStory,2013-01 added_photosStory,2013-12 added_photosStory,2014-01 added_photosStory,2014-12 added_photosStory,2015-01 added_photosStory,2015-12 added_photosStory,2016-01 added_photosStory,2007-12 shared_storyStory,2008-01 shared_storyStory,2008-12 shared_storyStory,2009-01 shared_storyStory,2009-12 shared_storyStory,2010-01 shared_storyStory,2010-12 shared_storyStory,2011-01 shared_storyStory,2011-12 shared_storyStory,2012-01 shared_storyStory,2012-12 shared_storyStory,2013-01 shared_storyStory,2013-12 shared_storyStory,2014-01 shared_storyStory,2014-12 shared_storyStory,2015-01 shared_storyStory,2015-12 shared_storyStory,2016-01 shared_storyStory,2007-12 added_videoStory,2008-01 added_videoStory,2008-12 added_videoStory,2009-01 added_videoStory,2009-12 added_videoStory,2010-01 added_videoStory,2010-12 added_videoStory,2011-01 added_videoStory,2011-12 added_videoStory,2012-01 added_videoStory,2012-12 added_videoStory,2013-01 added_videoStory,2013-12 added_videoStory,2014-01 added_videoStory,2014-12 added_videoStory,2015-01 added_videoStory,2015-12 added_videoStory,2016-01 added_videoStory,2007-12 mobile_status_updateStory,2008-01 mobile_status_updateStory,2008-12 mobile_status_updateStory,2009-01 mobile_status_updateStory,2009-12 mobile_status_updateStory,2010-01 mobile_status_updateStory,2010-12 mobile_status_updateStory,2011-01 mobile_status_updateStory,2011-12 mobile_status_updateStory,2012-01 mobile_status_updateStory,2012-12 mobile_status_updateStory,2013-01 mobile_status_updateStory,2013-12 mobile_status_updateStory,2014-01 mobile_status_updateStory,2014-12 mobile_status_updateStory,2015-01 mobile_status_updateStory,2015-12 mobile_status_updateStory,2016-01 mobile_status_updateStory,2007-12 published_storyStory,2008-01 published_storyStory,2008-12 published_storyStory,2009-01 published_storyStory,2009-12 published_storyStory,2010-01 published_storyStory,2010-12 published_storyStory,2011-01 published_storyStory,2011-12 published_storyStory,2012-01 published_storyStory,2012-12 published_storyStory,2013-01 published_storyStory,2013-12 published_storyStory,2014-01 published_storyStory,2014-12 published_storyStory,2015-01 published_storyStory,2015-12 published_storyStory,2016-01 published_storyStory,2007-12 created_noteStory,2008-01 created_noteStory,2008-12 created_noteStory,2009-01 created_noteStory,2009-12 created_noteStory,2010-01 created_noteStory,2010-12 created_noteStory,2011-01 created_noteStory,2011-12 created_noteStory,2012-01 created_noteStory,2012-12 created_noteStory,2013-01 created_noteStory,2013-12 created_noteStory,2014-01 created_noteStory,2014-12 created_noteStory,2015-01 created_noteStory,2015-12 created_noteStory,2016-01 created_noteStory,2007-12 wall_postStory,2008-01 wall_postStory,2008-12 wall_postStory,2009-01 wall_postStory,2009-12 wall_postStory,2010-01 wall_postStory,2010-12 wall_postStory,2011-01 wall_postStory,2011-12 wall_postStory,2012-01 wall_postStory,2012-12 wall_postStory,2013-01 wall_postStory,2013-12 wall_postStory,2014-01 wall_postStory,2014-12 wall_postStory,2015-01 wall_postStory,2015-12 wall_postStory,2016-01 wall_postStory,2007-12 created_eventStory,2008-01 created_eventStory,2008-12 created_eventStory,2009-01 created_eventStory,2009-12 created_eventStory,2010-01 created_eventStory,2010-12 created_eventStory,2011-01 created_eventStory,2011-12 created_eventStory,2012-01 created_eventStory,2012-12 created_eventStory,2013-01 created_eventStory,2013-12 created_eventStory,2014-01 created_eventStory,2014-12 created_eventStory,2015-01 created_eventStory,2015-12 created_eventStory,2016-01 created_eventStory,2007-12 noTypeStory,2008-01 noTypeStory,2008-12 noTypeStory,2009-01 noTypeStory,2009-12 noTypeStory,2010-01 noTypeStory,2010-12 noTypeStory,2011-01 noTypeStory,2011-12 noTypeStory,2012-01 noTypeStory,2012-12 noTypeStory,2013-01 noTypeStory,2013-12 noTypeStory,2014-01 noTypeStory,2014-12 noTypeStory,2015-01 noTypeStory,2015-12 noTypeStory,2016-01 noTypeStory
J. M. Smucker,117266245005679,98,0,0,0,0,0,0,169,14,0,257,102,282,102,173,278,185,108,43,0,0,0,0,0,0,141,17,0,298,135,368,498,188,378,439,149,80,0,0,0,0,0,0,211,27,0,2552,255,2079,7774,1003,1060,4102,491,280,0,0,0,0,0,0,211,27,0,2552,255,2079,7774,1003,1060,4102,507,285,0,0,0,0,0,0,1,0,0,3,4,7,0,3,7,4,102,19,0,0,0,0,0,0,2,0,0,16,3,21,2,4,6,5,24,4,0,0,0,0,0,0,64,2,0,47,4,12,7,12,107,68,1,0,0,0,0,0,0,0,126,8,0,132,40,97,49,88,147,93,36,20,0,0,0,0,0,0,64,2,0,48,4,12,7,13,107,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,3,1,0,4,0,6,4,6,9,2,29,11,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,3,4,0,0,0,0,0,0,0,105,12,0,211,98,271,95,161,173,122,79,32,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,7,5,0,0,0,0,0,0,4,0,0,7,0,0,0,0,43,35,24,19,0,0,0,0,0,0,62,3,0,54,3,21,4,8,101,43,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,4,0,0,8,2,0,2,3,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11,0,184,94,249,93,155,119,79,53,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,12,3,7,8,18,0,0
Schweitzer Engineering Labs,148960375131063,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate Software,29660886831,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cheesecake Factory,341861972627674,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Ohio Medical Center,220886824589689,32,0,0,0,0,0,0,0,0,0,3,8,8,8,8,7,8,7,1,0,0,0,0,0,0,0,0,0,2,4,18,8,5,1,6,32,0,0,0,0,0,0,0,0,0,0,5,28,129,150,18,21,21,81,14,0,0,0,0,0,0,0,0,0,5,28,129,150,18,21,21,97,14,0,0,0,0,0,0,0,0,0,0,0,7,10,0,4,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,4,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,7,4,7,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe,305115773870,36,0,0,0,0,0,0,0,0,0,431,193,487,300,536,568,449,267,58,0,0,0,0,0,0,0,0,0,688,533,759,314,609,1510,566,313,70,0,0,0,0,0,0,0,0,0,11187,4366,5597,4176,11556,35707,9807,4478,2686,0,0,0,0,0,0,0,0,0,11187,4366,5597,4176,11556,35734,9809,4636,2716,0,0,0,0,0,0,0,0,0,10,3,6,17,2,2,1,30,0,0,0,0,0,0,0,0,0,0,36,18,46,32,36,32,27,31,2,0,0,0,0,0,0,0,0,0,100,47,132,114,218,280,180,126,27,0,0,0,0,0,0,0,0,0,280,123,302,203,346,386,303,190,43,0,0,0,0,0,0,0,0,0,77,42,127,118,212,272,180,126,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,4,13,14,15,14,10,18,2,0,0,0,0,0,0,0,0,0,15,8,22,33,42,41,21,28,5,0,0,0,0,0,0,0,0,0,369,152,363,186,328,298,272,127,31,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,47,22,38,12,27,43,24,12,3,0,0,0,0,0,0,0,0,0,103,40,116,135,209,256,164,120,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,7,13,17,36,24,13,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,107,268,128,244,208,213,95,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,51,8,20,36,35,30,11
Scottrade,15601935371,27,0,2,4,3,46,11,118,9,0,123,32,81,140,152,99,63,61,15,0,0,10,6,68,19,153,12,0,190,38,111,110,154,127,145,75,15,0,0,0,0,8,4,34,1,0,34,2,32,41,45,360,608,33,139,0,0,0,0,8,4,34,1,0,34,2,32,41,45,360,608,33,139,0,0,0,0,0,0,1,0,0,1,0,0,1,0,71,500,6,11,0,0,0,0,0,0,4,0,0,4,2,5,20,21,9,5,10,3,0,0,0,0,0,0,2,0,0,1,0,0,8,4,1,0,0,0,0,2,0,1,9,2,55,3,0,46,6,19,71,55,36,18,20,6,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,6,2,3,12,10,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,4,3,46,11,118,9,0,123,32,78,139,149,89,59,58,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,6,3,4,6,2,2,0,0,0,0,0,0,5,0,0,4,2,6,21,23,11,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,46,11,110,9,0,116,30,74,113,123,81,51,49,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
World Wide Technology,75577218799,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navy Federal Credit Union,160344204010636,85,0,0,0,0,0,0,153,25,2,456,148,347,221,272,424,332,262,95,0,0,0,0,0,0,249,38,1,721,233,526,366,416,569,394,370,128,0,0,0,0,0,0,180,23,0,2069,105,1422,328,474,1445,181,384,100,0,0,0,0,0,0,180,23,0,2069,105,1422,328,474,1445,181,436,111,0,0,0,0,0,0,0,0,0,1,3,33,1,23,1,1,2,0,0,0,0,0,0,0,3,0,0,42,6,19,4,11,24,15,13,3,0,0,0,0,0,0,13,1,0,25,0,15,17,21,33,25,15,6,0,0,0,0,0,0,39,4,1,189,37,104,47,53,96,74,65,22,0,0,0,0,0,0,13,1,0,22,0,13,16,18,29,21,12,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,5,1,10,5,6,9,3,6,1,0,0,0,0,0,0,0,0,0,11,1,2,1,0,0,3,0,0,0,0,0,0,0,0,140,24,2,434,148,337,209,255,396,313,249,88,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,8,30,7,8,38,24,12,10,0,0,0,0,0,0,10,0,0,60,10,34,9,15,41,29,23,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,5,0,1,7,9,8,7,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,23,2,378,130,280,191,234,333,271,223,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,1,7,6,4,1,1,1
Stew Leonard's,33439252677,90,0,0,0,0,0,0,0,0,0,86,36,74,40,78,92,55,67,27,0,0,0,0,0,0,0,0,0,133,66,149,96,86,327,69,389,51,0,0,0,0,0,0,0,0,0,86,188,415,184,413,1131,616,3201,301,0,0,0,0,0,0,0,0,0,86,188,415,184,413,1131,616,3211,301,0,0,0,0,0,0,0,0,0,0,5,26,1,3,1,2,1347,47,0,0,0,0,0,0,0,0,0,6,3,4,2,6,5,3,18,7,0,0,0,0,0,0,0,0,0,0,1,1,8,12,38,23,1,5,0,0,0,0,0,0,0,0,0,14,7,18,17,35,55,35,27,14,0,0,0,0,0,0,0,0,0,2,1,1,8,12,37,22,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,9,4,7,2,3,0,2,28,7,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,85,34,70,32,66,55,34,39,21,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,11,8,22,6,8,13,8,8,10,0,0,0,0,0,0,0,0,0,8,5,6,4,10,26,17,22,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,23,45,22,52,37,21,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,6,0,1
